Date,Open,High,Low,Close,Volume
,4368.T,4368.T,4368.T,4368.T,4368.T
2025-04-17,3240.0,3240.0,3190.0,3230.0,108100
2025-04-18,3230.0,3320.0,3230.0,3320.0,79800
2025-04-21,3320.0,3320.0,3250.0,3275.0,54600
2025-04-22,3270.0,3280.0,3235.0,3250.0,44400
2025-04-23,3360.0,3390.0,3335.0,3360.0,71700
2025-04-24,3400.0,3430.0,3380.0,3390.0,42200
2025-04-25,3420.0,3485.0,3420.0,3450.0,57400
2025-04-28,3460.0,3505.0,3460.0,3475.0,64100
2025-04-30,3475.0,3490.0,3425.0,3460.0,89300
2025-05-01,3460.0,3520.0,3435.0,3515.0,55500
2025-05-02,3545.0,3570.0,3525.0,3570.0,55900
2025-05-07,3590.0,3615.0,3530.0,3555.0,100500
2025-05-08,3525.0,3560.0,3505.0,3550.0,63800
2025-05-09,3575.0,3625.0,3565.0,3625.0,54700
2025-05-12,3625.0,3685.0,3625.0,3685.0,62100
2025-05-13,3685.0,3750.0,3625.0,3695.0,219400
2025-05-14,3670.0,3735.0,3655.0,3710.0,97800
2025-05-15,3710.0,3710.0,3615.0,3655.0,71800
2025-05-16,3665.0,3670.0,3580.0,3595.0,52400
2025-05-19,3585.0,3640.0,3535.0,3565.0,65700
2025-05-20,3580.0,3620.0,3570.0,3585.0,61000
2025-05-21,3585.0,3610.0,3570.0,3600.0,42900
2025-05-22,3575.0,3600.0,3540.0,3545.0,45700
2025-05-23,3565.0,3615.0,3550.0,3585.0,53300
2025-05-26,3625.0,3675.0,3600.0,3675.0,46700
2025-05-27,3700.0,3705.0,3655.0,3695.0,32400
2025-05-28,3730.0,3785.0,3710.0,3755.0,112300
2025-05-29,3790.0,3855.0,3785.0,3855.0,121200
2025-05-30,3830.0,3895.0,3815.0,3850.0,98800
2025-06-02,3820.0,3820.0,3730.0,3750.0,92400
2025-06-03,3745.0,3785.0,3735.0,3760.0,63200
2025-06-04,3770.0,3840.0,3765.0,3775.0,87300
2025-06-05,3730.0,3765.0,3715.0,3755.0,76200
2025-06-06,3750.0,3800.0,3715.0,3740.0,70300
2025-06-09,3755.0,3775.0,3725.0,3740.0,46400
2025-06-10,3740.0,3780.0,3720.0,3760.0,69500
2025-06-11,3750.0,3890.0,3725.0,3890.0,131800
2025-06-12,3900.0,3930.0,3835.0,3835.0,78100
2025-06-13,3815.0,3855.0,3730.0,3775.0,72200
2025-06-16,3830.0,3845.0,3790.0,3795.0,52300
2025-06-17,3800.0,3835.0,3780.0,3830.0,52600
2025-06-18,3835.0,3870.0,3830.0,3865.0,51300
2025-06-19,3825.0,3830.0,3785.0,3800.0,46300
2025-06-20,3800.0,3815.0,3755.0,3755.0,46500
2025-06-23,3755.0,3755.0,3700.0,3725.0,44900
2025-06-24,3795.0,3820.0,3735.0,3775.0,63100
2025-06-25,3795.0,3825.0,3775.0,3800.0,59900
2025-06-26,3810.0,3900.0,3805.0,3845.0,98400
2025-06-27,3875.0,3900.0,3850.0,3870.0,86600
2025-06-30,3875.0,3910.0,3845.0,3870.0,89400
2025-07-01,3875.0,3905.0,3870.0,3880.0,50900
2025-07-02,3880.0,3905.0,3815.0,3820.0,111300
2025-07-03,3845.0,3880.0,3820.0,3865.0,81000
2025-07-04,3870.0,3910.0,3865.0,3885.0,59700
2025-07-07,3880.0,3880.0,3825.0,3860.0,66000
2025-07-08,3860.0,4010.0,3860.0,3965.0,114800
2025-07-09,4005.0,4040.0,3975.0,3990.0,85500
2025-07-10,3990.0,4015.0,3960.0,4010.0,110700
2025-07-11,4015.0,4045.0,3985.0,4000.0,63800
2025-07-14,4000.0,4025.0,3965.0,4000.0,80500
2025-07-15,4000.0,4020.0,3990.0,4015.0,43500
2025-07-16,4005.0,4020.0,3980.0,4000.0,44000
2025-07-17,3980.0,4050.0,3980.0,4040.0,27200
