title,link,published
＜みんかぶ・個人投資家の予想から＞＝「買い予想数上昇」４位に北浜ＣＰ - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPc2tqVUVDZVhBYkxBMEdLakItRmhZRi1KaWtsYXU5eDRhSjctaWs4aXZua1B3WjJUYWxXVFJ0UzlUTVVxTDRhQnhZZTRMem5fOVBTUHV1d09ZRzBfMS1XZDlmeGVaaUw5ZWVlNHZybUtkVlN6MWx4M2FFSmlGX05WOUNreXg1U1U?oc=5,"Tue, 15 Jul 2025"
【材料】 ＜みんかぶ・個人投資家の予想から＞＝「買い予想数上昇」４位に北浜ＣＰ - かぶたん,https://news.google.com/rss/articles/CBMiYkFVX3lxTE5PTVNFaUJ2Y2MwV2NQSERibGFjUURrMlh4STVvOExpQVpDY1pmTjRWd0dYNkRiUlJRbnNWd0FIVUdlQndVVGNrUGFjM1lfYlZpQk5rSWQ5NV9tVnFxU3VFdzVn?oc=5,"Tue, 15 Jul 2025"
【5％ルール】：北浜キャピタルパートナーズ、オウケイウェイヴ2社(フィスコ) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxOODRfSVdEZmpGS0ZTZWZlVWJwNGdJUnBTd24yX1h1WlNPbzZ0bnhOaUxxNmxzX3Q1UkgtaVRoZHkxYkV2WFRILVktbHp4SjVhUDltLWVkVXh6Q1NybVBIRE1kclNkRGN0N1V2U0Y2ZmRnOEhCRE1aT2ZPRHI0ZDBjRUJMc2pVTWM?oc=5,"Tue, 08 Jul 2025"
【５％】 北浜ＣＰについて、Adoは保有割合が減少したと報告 [変更報告書No.34] - かぶたん,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9uNUdfeW50X25oR2RJTmlYbFBfYWtjVkN6WndjaHo0SC1mMGlxQWU5dHRvM0EwWndKYmJpQ2d0aGtuUTlIeXlmd29acWoyTTN0c2lnTWQtNVI5UVhoMVNkVA?oc=5,"Wed, 18 Jun 2025"
【5％ルール】：北浜キャピタルパートナーズ、ライフコーポレーション2社(フィスコ) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxPd01PcURuZXFVMjlhWmtXVUZoakNyM0hSaWdyd1FGcFlUTkNFSDZOeDZ5VUFsR0FJa19ybmswWXY4YS1ZdTQzVm84ekpfYlRnSW9Jb2c3Y2hPQmlyazQ4V043MkhobzdWTUNTYXZrNEdRQVJNZFNNaXZOYnF0V3B6ZEtDOHptTWs?oc=5,"Wed, 18 Jun 2025"
北浜キャピタルパートナーズ【2134】、今期最終は黒字浮上へ | 決算速報 - 株探ニュース - かぶたん,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9OSE05cy1mdUQ4eTVacThuczQ5Z0pGVkwteE1CZGlHN3RtdkQ5aFBTLVM0NmNqY0hQUmpKcWx6d2ZGb29Nc2o1WDZKY0ItNVpocGc?oc=5,"Thu, 15 May 2025"
【決算速報】北浜キャピタルＰ、経常赤字拡大。事前予想を上回る(アイフィス株予報) - Yahoo!ファイナンス,https://news.google.com/rss/articles/CBMihwFBVV95cUxQc0J5a01BS2xDRWNOSEJBeGtQaDRXNm1CNUx6a1dnd2ZpN1AwVDBvRFhRR2tJa1VYMkpqS0ZhYUNrSG1ZWlg4cnVoUnFJZjdSOFB2NFZCV213WGZMTkROTW92WVE4Qmx5czQwRnAwRmZWaXgwaVM4OFBhd0pyU3Y5WUJTQnQ4NVE?oc=5,"Thu, 15 May 2025"
【５％】 北浜ＣＰについて、ＧＦＡは保有割合が減少したと報告 [変更報告書No.1] - かぶたん,https://news.google.com/rss/articles/CBMiYEFVX3lxTE43bHpxYnZ0dlZ0N1VIa29fZ3VfcHdUbWQtMHpHSHBrWl9CNFdtSU5fd0ZzX3JWZTUzRjFXb2NaNzFTT0JHY1BybnMyMnkzLVd3Z29lbTVRRjVwenpVeFZHUw?oc=5,"Tue, 17 Jun 2025"
【５％】 北浜ＣＰについて、ＧＦＡは保有割合が減少したと報告 [変更報告書No.2] - かぶたん,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5Qd2xjbjZ4alNIUkZKRGpNNHZRejUwcFpRUnNTWVRlWWlxSndTcGFaTmRGREh4bFF0R2xpU3ZYWVBvd2NFMTZjSTRBeUJzVUhQaTZ3LTFCVU92U19OekJNYw?oc=5,"Tue, 17 Jun 2025"
【５％】 北浜ＣＰについて、Adoは保有割合が減少したと報告 [変更報告書No.36] - かぶたん,https://news.google.com/rss/articles/CBMiYEFVX3lxTE1SRGtfZWdJWU95V0FFWXduMDFIQm8yaF9SbENkTWFDalY2bmxZbWtwbnN2VzdZMmFqR2NpWGhTaVdhVE5GTFJrd2Vxb25UOXdZLWFKTkczeDRxNHEzNEtROQ?oc=5,"Wed, 25 Jun 2025"
